"","timepoints","n.samples","clim.signal.ann","clim.timepoints.ssr","proxy.bt","proxy.bt.sb","proxy.bt.sb.sampY","proxy.bt.sb.sampYM","proxy.bt.sb.inf.b","proxy.bt.sb.inf.b.n","proxy.bt.sb.sampYM.b","proxy.bt.sb.sampYM.b.n","simulated.proxy","simulated.proxy.cal.err","reconstructed.climate"
"61",9827,1e+05,27.6075124104818,27.5735344187419,4.59576933223815,4.48455767726974,4.48498933044413,4.486757188572,NA,NA,NA,4.486757188572,4.486757188572,4.486757188572,27.4301581929515
"62",9885,1e+05,27.711452738444,27.5838967895508,4.59530755668946,4.48409442493638,4.48453704212576,4.48404653268286,NA,NA,NA,4.48404653268286,4.48404653268286,4.48404653268286,27.4234434323525
"63",9943,1e+05,27.4232498168946,27.5477061716716,4.5931890833435,4.48199928255767,4.4818166004305,4.48052157821488,NA,NA,NA,4.48052157821488,4.48052157821488,4.48052157821488,27.4147054402285
"64",10036,1e+05,27.7499989827474,27.5766362253825,4.59329066836179,4.48210742481003,4.48223680463779,4.48526169463893,NA,NA,NA,4.48526169463893,4.48526169463893,4.48526169463893,27.4264540992294
"65",10071,1e+05,27.4367004394531,27.5707630157471,4.59355790119301,4.48216328190831,4.4823457049415,4.48098409715799,NA,NA,NA,4.48098409715799,4.48098409715799,4.48098409715799,27.4158523678897
"66",10105,1e+05,27.6212504069011,27.5665013122559,4.59301829786222,4.48127701704161,4.48132610326208,4.48600659956951,NA,NA,NA,4.48600659956951,4.48600659956951,4.48600659956951,27.4282992611838
"67",10175,1e+05,27.5853286743164,27.5628666432699,4.59181949393243,4.48027343988078,4.48015915587669,4.47983429188103,NA,NA,NA,4.47983429188103,4.47983429188103,4.47983429188103,27.4130009287233
"68",10210,1e+05,27.4941345214844,27.5272450510661,4.5895063513017,4.47780930723023,4.47758800295036,4.47326765057868,NA,NA,NA,4.47326765057868,4.47326765057868,4.47326765057868,27.3967020650022
"69",10245,1e+05,27.3898763020834,27.4871989949545,4.58827219380603,4.47649402427792,4.47653430550915,4.47827840227632,NA,NA,NA,4.47827840227632,4.47827840227632,4.47827840227632,27.4091412625104
"70",10279,1e+05,27.2756998697917,27.5093658955892,4.58834359740484,4.47654062861445,4.47686084872765,4.47770873299102,NA,NA,NA,4.47770873299102,4.47770873299102,4.47770873299102,27.4077277591995
"71",10314,1e+05,28.0956893920899,27.5305473073324,4.5879857295044,4.47586168991099,4.47614104838375,4.47871343835174,NA,NA,NA,4.47871343835174,4.47871343835174,4.47871343835174,27.4102205833943
"72",10349,1e+05,27.4279927571615,27.545523707072,4.58513464990441,4.47260658025978,4.47256891913176,4.4684128577221,NA,NA,NA,4.4684128577221,4.4684128577221,4.4684128577221,27.3846367383332
"73",10384,1e+05,27.6689188639323,27.5494515736898,4.58202770535709,4.46954493888645,4.4697770040413,4.47196675093251,NA,NA,NA,4.47196675093251,4.47196675093251,4.47196675093251,27.3934703015925
"74",10419,1e+05,27.5546432495117,27.5463533782959,4.58218830075818,4.46961064680253,4.46938730792841,4.47105277304309,NA,NA,NA,4.47105277304309,4.47105277304309,4.47105277304309,27.3911991872579
"75",10453,1e+05,27.4885243733724,27.5530260721843,4.57864256585512,4.46603285983552,4.46597887767742,4.46730626099484,NA,NA,NA,4.46730626099484,4.46730626099484,4.46730626099484,27.3818847451044
"76",10488,1e+05,27.5596201578776,27.5372398122152,4.57574274665327,4.4634883230733,4.46357885086435,4.46017982759336,NA,NA,NA,4.46017982759336,4.46017982759336,4.46017982759336,27.3641456841005
"77",10558,1e+05,27.2799112955729,27.5058733113607,4.57116008394954,4.45899904303745,4.45918189238098,4.45974694709507,NA,NA,NA,4.45974694709507,4.45974694709507,4.45974694709507,27.3630672484945
"78",10593,1e+05,27.7901245117188,27.4919564056397,4.57162615738046,4.45960169491817,4.45938677946831,4.45590585349539,NA,NA,NA,4.45590585349539,4.45590585349539,4.45590585349539,27.3534933403648
"79",10627,1e+05,27.7320826212565,27.5059816996257,4.57220546767135,4.46032243417656,4.46037077986528,4.45862977898076,NA,NA,NA,4.45862977898076,4.45862977898076,4.45862977898076,27.3602835627423
"80",10662,1e+05,27.6282999674479,27.5070762888591,4.57050839330331,4.45861667483577,4.45872471702828,4.46058538234998,NA,NA,NA,4.46058538234998,4.46058538234998,4.46058538234998,27.365155948099
"81",10732,1e+05,27.6130793253581,27.4681837972005,4.56648021287266,4.45486121215004,4.45457021668025,4.45427012433865,NA,NA,NA,4.45427012433865,4.45427012433865,4.45427012433865,27.3494137871309
"82",10767,1e+05,27.3058029174805,27.4375087738037,4.56188210898876,4.44992485361697,4.45013215402986,4.44886402660809,NA,NA,NA,4.44886402660809,4.44886402660809,4.44886402660809,27.3359201659126
